Item to item based recommender experimentation using rating.csv dataset file
----------------------------------------------------------------------------
Start the prediction of item-to-item based recommender ...
 Similarity with item-to-item recommender for user: 1 is 0.6871651273020607
 Similarity with item-to-item recommender for user: 2 is 0.4512609350494567
 Similarity with item-to-item recommender for user: 3 is 0.4002413998787089
 Similarity with item-to-item recommender for user: 4 is 0.3566705877821281
 Similarity with item-to-item recommender for user: 5 is 0.7563203771605105
 Similarity with item-to-item recommender for user: 6 is 0.6377067748259933
 Similarity with item-to-item recommender for user: 7 is 0.4517758464346376
 Similarity with item-to-item recommender for user: 8 is 0.5601600000007649
 Similarity with item-to-item recommender for user: 9 is 0.24863621039093656
 Similarity with item-to-item recommender for user: 10 is 0.6526517393776942
 Similarity with item-to-item recommender for user: 11 is 0.3993509781089057
 Similarity with item-to-item recommender for user: 12 is 0.7261257000846293
 Similarity with item-to-item recommender for user: 13 is 0.6697607140371513
 Similarity with item-to-item recommender for user: 14 is 0.6286397567305357
 Similarity with item-to-item recommender for user: 15 is 0.30041633358425013
 Similarity with item-to-item recommender for user: 16 is 0.5323144135437397
 Similarity with item-to-item recommender for user: 17 is 0.5362292986356381
 Similarity with item-to-item recommender for user: 18 is 0.5832854119509266
 Similarity with item-to-item recommender for user: 19 is 0.8136254386063451
 Similarity with item-to-item recommender for user: 20 is 0.6295953958086631
 Similarity with item-to-item recommender for user: 21 is 0.7209887769459821
 Similarity with item-to-item recommender for user: 22 is 0.6017844255265101
 Similarity with item-to-item recommender for user: 23 is 0.6697808176840093
 Similarity with item-to-item recommender for user: 24 is 0.4916461797929854
 Similarity with item-to-item recommender for user: 25 is 0.4118274477004419
 Similarity with item-to-item recommender for user: 26 is 0.503273584785744
 Similarity with item-to-item recommender for user: 27 is 0.413210847833213
 Similarity with item-to-item recommender for user: 28 is 0.474396633359753
 Similarity with item-to-item recommender for user: 29 is 0.7063141005720858
 Similarity with item-to-item recommender for user: 30 is 0.40882642521461054
 Similarity with item-to-item recommender for user: 31 is 0.506096617238217
 Similarity with item-to-item recommender for user: 32 is 0.8280507077882466
 Similarity with item-to-item recommender for user: 33 is 0.7490196767113836
