User to user based recommender experimentation using rating.csv dataset file
----------------------------------------------------------------------------
Start the prediction of user-to-user based recommender ...
 Similarity with user-to-user recommender for user: 1 is 0.6804353640738168
 Similarity with user-to-user recommender for user: 2 is 0.4480821827541829
 Similarity with user-to-user recommender for user: 3 is 0.8521006469920139
 Similarity with user-to-user recommender for user: 4 is 0.8432512103816294
 Similarity with user-to-user recommender for user: 5 is 0.4447714656769345
 Similarity with user-to-user recommender for user: 6 is 0.8527085000055793
 Similarity with user-to-user recommender for user: 7 is 0.8265479834385213
 Similarity with user-to-user recommender for user: 8 is 0.9314888206338795
 Similarity with user-to-user recommender for user: 9 is 0.6624825763316197
 Similarity with user-to-user recommender for user: 10 is 0.6234692587320999
 Similarity with user-to-user recommender for user: 11 is 0.8734418239792697
 Similarity with user-to-user recommender for user: 12 is 0.5505792309571612
 Similarity with user-to-user recommender for user: 13 is 0.956057167648742
 Similarity with user-to-user recommender for user: 14 is 0.7037751260603748
 Similarity with user-to-user recommender for user: 15 is 0.9218366241332199
 Similarity with user-to-user recommender for user: 16 is 0.6716394989038741
 Similarity with user-to-user recommender for user: 17 is 0.8469575230516944
 Similarity with user-to-user recommender for user: 18 is 0.8283422058763829
 Similarity with user-to-user recommender for user: 19 is 0.8036800323624741
 Similarity with user-to-user recommender for user: 20 is 0.6508857146626487
 Similarity with user-to-user recommender for user: 21 is 0.7790990088638209
 Similarity with user-to-user recommender for user: 22 is 0.8293905411170003
 Similarity with user-to-user recommender for user: 23 is 0.7745964124567055
 Similarity with user-to-user recommender for user: 24 is 0.6783874409381814
 Similarity with user-to-user recommender for user: 25 is 0.684160633882822
 Similarity with user-to-user recommender for user: 26 is 0.6071955610335518
 Similarity with user-to-user recommender for user: 27 is 0.6551347118126157
 Similarity with user-to-user recommender for user: 28 is 0.7207517872204692
 Similarity with user-to-user recommender for user: 29 is 0.7044109715009936
 Similarity with user-to-user recommender for user: 30 is 0.5453366905638252
 Similarity with user-to-user recommender for user: 31 is 0.6671273383506535
 Similarity with user-to-user recommender for user: 32 is 0.9574033068926938
 Similarity with user-to-user recommender for user: 33 is 0.8151741769871191
 Similarity with user-to-user recommender for user: 34 is 0.8324499388051205
 Similarity with user-to-user recommender for user: 35 is 0.8004494879480115
 Similarity with user-to-user recommender for user: 36 is 0.8498727897626956
 Similarity with user-to-user recommender for user: 37 is 0.35884733731772533
 Similarity with user-to-user recommender for user: 38 is 0.6189603464316547
 Similarity with user-to-user recommender for user: 39 is 0.649118968443587
 Similarity with user-to-user recommender for user: 40 is 0.7618778848485852
 Similarity with user-to-user recommender for user: 41 is 0.7319638673025136
 Similarity with user-to-user recommender for user: 42 is 0.7802330881497421
 Similarity with user-to-user recommender for user: 43 is 0.6855907916813485
 Similarity with user-to-user recommender for user: 44 is 0.8519915294279473
 Similarity with user-to-user recommender for user: 45 is 0.6369659959579436
 Similarity with user-to-user recommender for user: 46 is 0.7703213875004579
 Similarity with user-to-user recommender for user: 47 is 0.828513908610217
