K-Nearest Neighbors hybrid based recommender experimentation using rating.csv dataset file
------------------------------------------------------------------------------------------
Start the prediction of kNN hybrid based recommender ...
 Similarity with kNN hybrid recommender for user: 1 is 0.8661791789382792
 Similarity with kNN hybrid recommender for user: 2 is 0.5401247680521646
 Similarity with kNN hybrid recommender for user: 3 is 0.8521006469920139
 Similarity with kNN hybrid recommender for user: 4 is 0.6334387710450282
 Similarity with kNN hybrid recommender for user: 5 is 0.28634847299480276
 Similarity with kNN hybrid recommender for user: 6 is 0.6701219026860965
 Similarity with kNN hybrid recommender for user: 7 is 0.7370894317318859
 Similarity with kNN hybrid recommender for user: 8 is 0.803292532212041
 Similarity with kNN hybrid recommender for user: 9 is 0.6624825763316197
 Similarity with kNN hybrid recommender for user: 10 is 0.8272674260764993
 Similarity with kNN hybrid recommender for user: 11 is 0.7882427042101715
 Similarity with kNN hybrid recommender for user: 12 is 0.3836182648302236
 Similarity with kNN hybrid recommender for user: 13 is 0.6975912757533758
 Similarity with kNN hybrid recommender for user: 14 is 0.8138285630780555
 Similarity with kNN hybrid recommender for user: 15 is 0.8554982639050837
 Similarity with kNN hybrid recommender for user: 16 is 0.7981091120745678
 Similarity with kNN hybrid recommender for user: 17 is 0.7065199965341766
 Similarity with kNN hybrid recommender for user: 18 is 0.7804566548922633
 Similarity with kNN hybrid recommender for user: 19 is 0.6056014948437735
 Similarity with kNN hybrid recommender for user: 20 is 0.4861718508067632
 Similarity with kNN hybrid recommender for user: 21 is 0.8237153642351597
 Similarity with kNN hybrid recommender for user: 22 is 0.759777572707072
 Similarity with kNN hybrid recommender for user: 23 is 0.8321849811076838
 Similarity with kNN hybrid recommender for user: 24 is 0.4835106899150275
 Similarity with kNN hybrid recommender for user: 25 is 0.5342011568700586
 Similarity with kNN hybrid recommender for user: 26 is 0.6173649426808839
 Similarity with kNN hybrid recommender for user: 27 is 0.6884497262547594
 Similarity with kNN hybrid recommender for user: 28 is 0.7052001930594829
 Similarity with kNN hybrid recommender for user: 29 is 0.5089160791649956
 Similarity with kNN hybrid recommender for user: 30 is 0.8305917655911091
 Similarity with kNN hybrid recommender for user: 31 is 0.6813900232386864
 Similarity with kNN hybrid recommender for user: 32 is 0.8431072879467678
 Similarity with kNN hybrid recommender for user: 33 is 0.6714009956059789
 Similarity with kNN hybrid recommender for user: 34 is 0.857777630849454
 Similarity with kNN hybrid recommender for user: 35 is 0.6600257018276614
 Similarity with kNN hybrid recommender for user: 36 is 0.8642013099477053
 Similarity with kNN hybrid recommender for user: 37 is 0.4122171731021597
 Similarity with kNN hybrid recommender for user: 38 is 0.7621210080821789
 Similarity with kNN hybrid recommender for user: 39 is 0.5137739896913849
 Similarity with kNN hybrid recommender for user: 40 is 0.8777839329735618
 Similarity with kNN hybrid recommender for user: 41 is 0.8090875382954515
 Similarity with kNN hybrid recommender for user: 42 is 0.8429035770913132
 Similarity with kNN hybrid recommender for user: 43 is 0.8591890228300615
 Similarity with kNN hybrid recommender for user: 44 is 0.8368370857562918
 Similarity with kNN hybrid recommender for user: 45 is 0.6842403982057377
 Similarity with kNN hybrid recommender for user: 46 is 0.7525425888763234
 Similarity with kNN hybrid recommender for user: 47 is 0.8185063035368246
 Similarity with kNN hybrid recommender for user: 48 is 0.3356129699732489
 Similarity with kNN hybrid recommender for user: 49 is 0.6180873522505351
 Similarity with kNN hybrid recommender for user: 50 is 0.6879691527880873
 Similarity with kNN hybrid recommender for user: 51 is 0.5981291628288247
 Similarity with kNN hybrid recommender for user: 52 is 0.8547573760979373
 Similarity with kNN hybrid recommender for user: 53 is 0.7056574217427994
 Similarity with kNN hybrid recommender for user: 54 is 0.748505033200111
 Similarity with kNN hybrid recommender for user: 55 is 0.6126980258394962
 Similarity with kNN hybrid recommender for user: 56 is 0.9646050118541472
 Similarity with kNN hybrid recommender for user: 57 is 0.7554734671497829
 Similarity with kNN hybrid recommender for user: 58 is 0.8197932641706098
 Similarity with kNN hybrid recommender for user: 59 is 0.7929866322243696
 Similarity with kNN hybrid recommender for user: 60 is 0.565246892622558
 Similarity with kNN hybrid recommender for user: 61 is 0.7076178586170944
 Similarity with kNN hybrid recommender for user: 62 is 0.8646340448052481
 Similarity with kNN hybrid recommender for user: 63 is 0.6850460872112359
 Similarity with kNN hybrid recommender for user: 64 is 0.7784083731212803
 Similarity with kNN hybrid recommender for user: 65 is 0.7436007400973589
 Similarity with kNN hybrid recommender for user: 66 is 0.7117474495522744
 Similarity with kNN hybrid recommender for user: 67 is 0.5321595960024936
 Similarity with kNN hybrid recommender for user: 68 is 0.8091614718411559
 Similarity with kNN hybrid recommender for user: 69 is 0.7862817340426721
 Similarity with kNN hybrid recommender for user: 70 is 0.8449806530474859
 Similarity with kNN hybrid recommender for user: 71 is 0.6357284252810812
 Similarity with kNN hybrid recommender for user: 72 is 0.74890715570994
 Similarity with kNN hybrid recommender for user: 73 is 0.7632128981036485
 Similarity with kNN hybrid recommender for user: 74 is 0.6585674382793055
 Similarity with kNN hybrid recommender for user: 75 is 0.5569797374898042
 Similarity with kNN hybrid recommender for user: 76 is 0.8161549006904021
 Similarity with kNN hybrid recommender for user: 77 is 0.6254444053048388
 Similarity with kNN hybrid recommender for user: 78 is 0.6746430200830227
 Similarity with kNN hybrid recommender for user: 79 is 0.7218382887164727
 Similarity with kNN hybrid recommender for user: 80 is 0.6188637014619398
 Similarity with kNN hybrid recommender for user: 81 is 0.7251288577778361
 Similarity with kNN hybrid recommender for user: 82 is 0.7244386018445645
 Similarity with kNN hybrid recommender for user: 83 is 0.3772318401202343
 Similarity with kNN hybrid recommender for user: 84 is 0.7523648224039428
 Similarity with kNN hybrid recommender for user: 85 is 0.7283757797407087
 Similarity with kNN hybrid recommender for user: 86 is 0.8109830175632033
 Similarity with kNN hybrid recommender for user: 87 is 0.5191901760853592
 Similarity with kNN hybrid recommender for user: 88 is 0.7224118042537292
 Similarity with kNN hybrid recommender for user: 89 is 0.7511694316666844
 Similarity with kNN hybrid recommender for user: 90 is 0.5655012059293979
 Similarity with kNN hybrid recommender for user: 91 is 0.845499402291425
 Similarity with kNN hybrid recommender for user: 92 is 0.7346095055979386
 Similarity with kNN hybrid recommender for user: 93 is 0.7082440710466503
 Similarity with kNN hybrid recommender for user: 94 is 0.6160199681660191
 Similarity with kNN hybrid recommender for user: 95 is 0.810861599571451
 Similarity with kNN hybrid recommender for user: 96 is 0.6184873165495888
 Similarity with kNN hybrid recommender for user: 97 is 0.6413974027453732
 Similarity with kNN hybrid recommender for user: 98 is 0.833006225189321
 Similarity with kNN hybrid recommender for user: 99 is 0.7389474168927024
 Similarity with kNN hybrid recommender for user: 100 is 0.7509163165985089
 Similarity with kNN hybrid recommender for user: 101 is 0.7105911700151891
 Similarity with kNN hybrid recommender for user: 102 is 0.7665777024787527
 Similarity with kNN hybrid recommender for user: 103 is 0.43494066358415107
 Similarity with kNN hybrid recommender for user: 104 is 0.8175305139682694
 Similarity with kNN hybrid recommender for user: 105 is 0.8396169187649466
 Similarity with kNN hybrid recommender for user: 106 is 0.7858776800181395
 Similarity with kNN hybrid recommender for user: 107 is 0.7815605292011858
